# ============================================
# Operation Nightcap - CG Manifest
# Character: BLAZE (ブレイズ)
# ============================================
#
# このファイルは必要なCG画像の一覧です。
# 画像の実体(.png/.webp)はリポジトリに含めません。
# 画像は外部ストレージ(R2, S3等)で管理してください。
#
# フォーマット: ファイル名 | トリガー | 酔いLv | 備考
# ============================================

# --- イベントCG (8枚) ---
# 配置先: assets/characters/blaze/cg/

shoulder_lean.webp    | 耳元でささやく     | Lv.1 |
headpat.webp          | うなじを撫でる     | Lv.2 |
gaze.webp             | 唇を見つめる       | Lv.2 |
breast_touch.webp     | 胸に触れる         | Lv.2 |
hip_touch.webp        | お尻をなでる       | Lv.2 |
ear_bite.webp         | 耳を甘噛み         | Lv.3 |
lap_pillow.webp       | 太ももに誘う       | Lv.3 |
kiss.webp             | ディープキス        | Lv.3 | instant_win

# --- 立ち絵 / ポートレート (6枚) ---
# 配置先: assets/characters/blaze/

portrait.webp         | 基本立ち絵          |      |
portrait-drunk-0.webp | 素面                | Lv.0 |
portrait-drunk-1.webp | ほろ酔い            | Lv.1 |
portrait-drunk-2.webp | 酔い                | Lv.2 |
portrait-drunk-3.webp | べろべろ            | Lv.3 |
portrait-drunk-4.webp | 潰れ                | Lv.4 |

# --- アイコン (1枚) ---
# 配置先: assets/characters/blaze/

select-icon.webp      | キャラ選択画面用    |      |

# ============================================
# 合計: 15枚
# ステータス: 全て未作成 (プレースホルダー運用中)
# ============================================
