# ============================================
# Operation Nightcap - CG Manifest
# Character: BLAZE (ブレイズ)
# ============================================
#
# このファイルは必要なCG画像の一覧です。
# 画像の実体(.png/.webp)はリポジトリに含めません。
# 画像は外部ストレージ(R2, S3等)で管理してください。
#
# フォーマット: ファイル名 | トリガー | 酔いLv | 備考
# ============================================

# --- イベントCG (10種) ---
# 配置先: public/characters/blaze/cg/

hand_hold_1.webp      | 手繋ぎ(1)          | Lv.1 | フレーム1: テーブル下で指が触れる
hand_hold_2.webp      | 手繋ぎ(2)          | Lv.1 | フレーム2: 驚くブレイズ
hand_hold_3.webp      | 手繋ぎ(3)          | Lv.1 | フレーム3: 指を絡ませる
hand_hold_4.webp      | 手繋ぎ(4)          | Lv.1 | フレーム4: 握り返す
shoulder_lean.webp    | 耳元でささやく     | Lv.1 | 単一フレーム
headpat.webp          | うなじを撫でる     | Lv.2 | 単一フレーム
breast_touch_1.webp   | 胸に触れる(1)      | Lv.2 | フレーム1: 手が伸びる
breast_touch_2.webp   | 胸に触れる(2)      | Lv.2 | フレーム2: 胸に触れる
breast_touch_3.webp   | 胸に触れる(3)      | Lv.2 | フレーム3: 感じてる表情
hip_touch.webp        | お尻をなでる       | Lv.2 | 単一フレーム
thigh_touch_1.webp    | 太もも撫で(1)      | Lv.2 | フレーム1: 膝に手を置く
thigh_touch_2.webp    | 太もも撫で(2)      | Lv.2 | フレーム2: 太ももを撫でる
thigh_touch_3.webp    | 太もも撫で(3)      | Lv.2 | フレーム3: 力が抜けていく
thigh_touch_4.webp    | 太もも撫で(4)      | Lv.2 | フレーム4: 観念した表情
ear_bite_1.webp       | 耳を甘噛み(1)      | Lv.3 | フレーム1: 耳に顔を近づける
ear_bite_2.webp       | 耳を甘噛み(2)      | Lv.3 | フレーム2: 耳たぶを噛む
ear_bite_3.webp       | 耳を甘噛み(3)      | Lv.3 | フレーム3: 蕩けた表情
kiss_1.webp           | ディープキス(1)     | Lv.3 | フレーム1: 腰を引き寄せる
kiss_2.webp           | ディープキス(2)     | Lv.3 | フレーム2: 唇が近づく
kiss_3.webp           | ディープキス(3)     | Lv.3 | フレーム3: キス
kiss_4.webp           | ディープキス(4)     | Lv.3 | フレーム4: 余韻 / instant_win
foot_tease_1.webp     | 足テーブル下(1)    | Lv.2 | フレーム1: テーブル下の気配
foot_tease_2.webp     | 足テーブル下(2)    | Lv.2 | フレーム2: 挑発する笑み
foot_tease_3.webp     | 足テーブル下(3)    | Lv.2 | フレーム3: 攻めるブレイズ
dirty_talk_1.webp     | 囁き(1)           | Lv.2 | フレーム1: 耳元に近づく
dirty_talk_2.webp     | 囁き(2)           | Lv.2 | フレーム2: 囁く表情
dirty_talk_3.webp     | 囁き(3)           | Lv.2 | フレーム3: 満足げな笑み

# --- 立ち絵 / ポートレート (6枚) ---
# 配置先: public/characters/blaze/

portrait.webp         | 基本立ち絵          |      |
portrait-drunk-0.webp | 素面                | Lv.0 |
portrait-drunk-1.webp | ほろ酔い            | Lv.1 |
portrait-drunk-2.webp | 酔い                | Lv.2 |
portrait-drunk-3.webp | べろべろ            | Lv.3 |
portrait-drunk-4.webp | 潰れ                | Lv.4 |

# --- アイコン (1枚) ---
# 配置先: public/characters/blaze/

select-icon.webp      | キャラ選択画面用    |      |

# ============================================
# 合計: CG 28枚 + 立ち絵 6枚 + アイコン 1枚 = 35枚
# ステータス: 全て未作成 (プレースホルダー運用中)
# ============================================
